term	articles	proposal
avijjā	151	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	149	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	149	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	140	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	87	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	86	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	81	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	76	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	68	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	63	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	61	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamagga	56	keep in Pāḷi (drafts); IEBH to fix a rendering
abhidhamma	55	keep in Pāḷi (drafts); IEBH to fix a rendering
abyākata	55	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	49	keep in Pāḷi (drafts); IEBH to fix a rendering
asekkha	48	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	44	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	43	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	42	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	38	keep in Pāḷi (drafts); IEBH to fix a rendering
asura	37	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	35	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	35	keep in Pāḷi (drafts); IEBH to fix a rendering
asubha	34	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	34	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	33	keep in Pāḷi (drafts); IEBH to fix a rendering
vitakka	31	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	30	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	28	keep in Pāḷi (drafts); IEBH to fix a rendering
abyāpāda	26	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	26	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	26	keep in Pāḷi (drafts); IEBH to fix a rendering
alobha	25	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	25	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyaphala	24	keep in Pāḷi (drafts); IEBH to fix a rendering
asaññasatta	23	keep in Pāḷi (drafts); IEBH to fix a rendering
asoka	23	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	23	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
abhijjhā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	21	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	20	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	20	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamaggañāṇa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	19	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	19	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyasacca	18	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpāvacara	18	keep in Pāḷi (drafts); IEBH to fix a rendering
buddha	18	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	18	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	17	keep in Pāḷi (drafts); IEBH to fix a rendering
paccaya	17	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	17	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabrahmā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
asubhakammaṭṭhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	16	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	16	keep in Pāḷi (drafts); IEBH to fix a rendering
byāpāra	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	15	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	15	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	15	keep in Pāḷi (drafts); IEBH to fix a rendering
peta	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sakka	15	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	15	keep in Pāḷi (drafts); IEBH to fix a rendering
abhisaṅkhāra	14	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyavaṁsa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpajjhāna	14	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhisatta	14	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	14	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	14	keep in Pāḷi (drafts); IEBH to fix a rendering
abhāva	13	keep in Pāḷi (drafts); IEBH to fix a rendering
ahetuka	13	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabhūmi	13	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	13	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	13	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	12	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
koṭi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
paramattha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
samatha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
sukha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vicāra	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vipāka	12	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphalasamāpatti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	11	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
mettā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakkhandha	11	keep in Pāḷi (drafts); IEBH to fix a rendering
abhibhāyatana	10	keep in Pāḷi (drafts); IEBH to fix a rendering
