term	articles	proposal
deva	499	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkha	180	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	159	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	142	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	88	keep in Pāḷi (drafts); IEBH to fix a rendering
dāna	73	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	64	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	60	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	58	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	57	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	56	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	52	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	51	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	51	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	50	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	49	keep in Pāḷi (drafts); IEBH to fix a rendering
dibbacakkhu	47	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	44	keep in Pāḷi (drafts); IEBH to fix a rendering
duccarita	42	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	42	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	38	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkhasacca	36	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkhavedanā	35	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	33	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattimagga	33	keep in Pāḷi (drafts); IEBH to fix a rendering
domanassa	27	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	26	keep in Pāḷi (drafts); IEBH to fix a rendering
domanassavedanā	25	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	23	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavāḷa	22	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
devī	21	keep in Pāḷi (drafts); IEBH to fix a rendering
duka	21	keep in Pāḷi (drafts); IEBH to fix a rendering
lokadhātu	21	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	21	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	20	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	20	keep in Pāḷi (drafts); IEBH to fix a rendering
devaputta	19	keep in Pāḷi (drafts); IEBH to fix a rendering
yakkha	19	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	17	keep in Pāḷi (drafts); IEBH to fix a rendering
nikāya	17	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	17	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	16	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkaṭāpatti	16	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	16	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	16	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	16	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpārammaṇa	16	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	16	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	15	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvappadhāna	15	keep in Pāḷi (drafts); IEBH to fix a rendering
dibbavihāra	15	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhuviññāṇa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
duggatibhūmi	14	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	14	keep in Pāḷi (drafts); IEBH to fix a rendering
apāya	13	keep in Pāḷi (drafts); IEBH to fix a rendering
duggatibhava	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kammapatha	13	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpāvacarajhāna	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	13	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhu	12	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	12	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kāya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	12	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	12	keep in Pāḷi (drafts); IEBH to fix a rendering
asura	11	keep in Pāḷi (drafts); IEBH to fix a rendering
duggati	11	keep in Pāḷi (drafts); IEBH to fix a rendering
dānacetanā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	11	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	10	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhuppatti	10	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	10	keep in Pāḷi (drafts); IEBH to fix a rendering
dibbasota	10	keep in Pāḷi (drafts); IEBH to fix a rendering
dutiyajjhāna	10	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	10	keep in Pāḷi (drafts); IEBH to fix a rendering
sutta	10	keep in Pāḷi (drafts); IEBH to fix a rendering
visuddhideva	10	keep in Pāḷi (drafts); IEBH to fix a rendering
māra	9	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	9	keep in Pāḷi (drafts); IEBH to fix a rendering
sammādiṭṭhi	9	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	9	keep in Pāḷi (drafts); IEBH to fix a rendering
sukha	9	keep in Pāḷi (drafts); IEBH to fix a rendering
vacī	9	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	9	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
cittuppāda	8	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkhalakkhaṇa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
dussīlya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
gāthā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattimaggañāṇa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	8	keep in Pāḷi (drafts); IEBH to fix a rendering
vassa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
aṅga	7	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhadhammanibbāna	7	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkaṭa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
dvanda	7	keep in Pāḷi (drafts); IEBH to fix a rendering
karuṇā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
micchādiṭṭhi	7	keep in Pāḷi (drafts); IEBH to fix a rendering
pada	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vipāka	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vāra	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	7	keep in Pāḷi (drafts); IEBH to fix a rendering
