term	articles	proposal
paññā	311	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭipatti	85	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiccasamuppāda	77	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	62	keep in Pāḷi (drafts); IEBH to fix a rendering
paccaya	57	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	53	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	45	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭṭhāna	43	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭipadā	42	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	41	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	40	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	38	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	38	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	36	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	35	keep in Pāḷi (drafts); IEBH to fix a rendering
paṁsukūla	34	keep in Pāḷi (drafts); IEBH to fix a rendering
paccuddhāra	33	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmapaññatti	31	keep in Pāḷi (drafts); IEBH to fix a rendering
adhiṭṭhāna	30	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	30	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	30	keep in Pāḷi (drafts); IEBH to fix a rendering
paccayuppanna	28	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	27	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	27	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	25	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	24	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	23	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	21	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	20	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	20	keep in Pāḷi (drafts); IEBH to fix a rendering
paccavekkhaṇañāṇa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabodhiñāṇa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	18	keep in Pāḷi (drafts); IEBH to fix a rendering
pañcaviññāṇa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	16	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiññā	15	keep in Pāḷi (drafts); IEBH to fix a rendering
vinayapaññatti	15	keep in Pāḷi (drafts); IEBH to fix a rendering
bahiddha	14	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhamāvibhatti	14	keep in Pāḷi (drafts); IEBH to fix a rendering
gati	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
nīvaraṇa	13	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	13	keep in Pāḷi (drafts); IEBH to fix a rendering
vassa	13	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	12	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	12	keep in Pāḷi (drafts); IEBH to fix a rendering
