term	articles	proposal
kilesa	630	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	152	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	97	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	66	keep in Pāḷi (drafts); IEBH to fix a rendering
gāthā	58	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	52	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	49	keep in Pāḷi (drafts); IEBH to fix a rendering
gati	42	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	39	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	36	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	32	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	31	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	30	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhārammaṇa	29	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	29	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	28	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhabba	26	keep in Pāḷi (drafts); IEBH to fix a rendering
khetta	26	keep in Pāḷi (drafts); IEBH to fix a rendering
āsava	24	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	22	keep in Pāḷi (drafts); IEBH to fix a rendering
garuḷa	21	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhakuṭi	20	keep in Pāḷi (drafts); IEBH to fix a rendering
gotrabhū	20	keep in Pāḷi (drafts); IEBH to fix a rendering
kukkucca	20	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	20	keep in Pāḷi (drafts); IEBH to fix a rendering
yakkha	19	keep in Pāḷi (drafts); IEBH to fix a rendering
ghānapasāda	18	keep in Pāḷi (drafts); IEBH to fix a rendering
kusalattika	17	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	15	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	15	keep in Pāḷi (drafts); IEBH to fix a rendering
upacāra	15	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	14	keep in Pāḷi (drafts); IEBH to fix a rendering
khandhaka	14	keep in Pāḷi (drafts); IEBH to fix a rendering
kumbhaṇḍa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesakāma	12	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	12	keep in Pāḷi (drafts); IEBH to fix a rendering
parikkhāra	12	keep in Pāḷi (drafts); IEBH to fix a rendering
garuka	11	keep in Pāḷi (drafts); IEBH to fix a rendering
khanti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
koṭṭhāsa	11	keep in Pāḷi (drafts); IEBH to fix a rendering
