term	articles	proposal
paṭisandhi	106	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	85	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	74	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	47	keep in Pāḷi (drafts); IEBH to fix a rendering
padhāna	45	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	45	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisambhidāñāṇa	41	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	37	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	30	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭivedhañāṇa	28	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	27	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	27	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpatti	27	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhavī	26	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	25	keep in Pāḷi (drafts); IEBH to fix a rendering
sāmaṇera	24	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhavīkasiṇa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
padaṭṭhāna	22	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	21	keep in Pāḷi (drafts); IEBH to fix a rendering
viriya	21	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	20	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavī	20	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	19	keep in Pāḷi (drafts); IEBH to fix a rendering
papañca	19	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiloma	17	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkaracariyā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāganimitta	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭṭhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paṇḍaka	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	15	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	14	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	13	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	13	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	13	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	12	keep in Pāḷi (drafts); IEBH to fix a rendering
javana	12	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	12	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	12	keep in Pāḷi (drafts); IEBH to fix a rendering
paribbājaka	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhicitta	10	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	10	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	9	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇa	9	keep in Pāḷi (drafts); IEBH to fix a rendering
padabhājanīpāḷi	9	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhavīdhātu	9	keep in Pāḷi (drafts); IEBH to fix a rendering
pārājika	9	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	9	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvaṇṇanā	9	keep in Pāḷi (drafts); IEBH to fix a rendering
