term	articles	proposal
cakkhupasāda	94	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	75	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	74	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhuviññāṇa	73	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	65	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	63	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	62	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	62	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	62	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	57	keep in Pāḷi (drafts); IEBH to fix a rendering
catutthajjhāna	53	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavāḷa	50	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	50	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	44	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	42	keep in Pāḷi (drafts); IEBH to fix a rendering
chandarāga	40	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	39	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	38	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	36	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	36	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpārammaṇa	34	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	34	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	33	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhundriya	32	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	31	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	31	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhudvāra	29	keep in Pāḷi (drafts); IEBH to fix a rendering
cuti	28	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhāyatana	27	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	27	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	26	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	25	keep in Pāḷi (drafts); IEBH to fix a rendering
dhātu	24	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	24	keep in Pāḷi (drafts); IEBH to fix a rendering
iriyāpatha	23	keep in Pāḷi (drafts); IEBH to fix a rendering
devaputta	22	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	21	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	21	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	21	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	21	keep in Pāḷi (drafts); IEBH to fix a rendering
adhiṭṭhāna	19	keep in Pāḷi (drafts); IEBH to fix a rendering
mahābhūta	19	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	19	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacara	18	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	18	keep in Pāḷi (drafts); IEBH to fix a rendering
sutta	17	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhusamphassa	16	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	16	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	16	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	15	keep in Pāḷi (drafts); IEBH to fix a rendering
cutipaṭisandhi	15	keep in Pāḷi (drafts); IEBH to fix a rendering
caraṇa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
cittuppāda	14	keep in Pāḷi (drafts); IEBH to fix a rendering
dhamma	14	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	14	keep in Pāḷi (drafts); IEBH to fix a rendering
carita	13	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	13	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	12	keep in Pāḷi (drafts); IEBH to fix a rendering
cetopariyañāṇa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
cittajarūpa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
phassa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
satipaṭṭhāna	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vasībhāva	12	keep in Pāḷi (drafts); IEBH to fix a rendering
