term	articles	proposal
jhāna	363	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	188	keep in Pāḷi (drafts); IEBH to fix a rendering
jīvitindriya	93	keep in Pāḷi (drafts); IEBH to fix a rendering
javana	58	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	44	keep in Pāḷi (drafts); IEBH to fix a rendering
ñatti	42	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	39	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	38	keep in Pāḷi (drafts); IEBH to fix a rendering
jarā	37	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	29	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	28	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānaṅga	28	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	27	keep in Pāḷi (drafts); IEBH to fix a rendering
jāti	25	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	21	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	20	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	19	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	19	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	18	keep in Pāḷi (drafts); IEBH to fix a rendering
jarāmaraṇa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	18	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
atta	17	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	17	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	17	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	16	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	15	keep in Pāḷi (drafts); IEBH to fix a rendering
jīva	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	15	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	15	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	15	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhitikkhaṇa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	13	keep in Pāḷi (drafts); IEBH to fix a rendering
iriyāpatha	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	13	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	12	keep in Pāḷi (drafts); IEBH to fix a rendering
devaputta	12	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	12	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	12	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	11	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānapaccaya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānasamāpatti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
jivhāviññāṇa	10	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	10	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamagga	9	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhisatta	9	keep in Pāḷi (drafts); IEBH to fix a rendering
devī	9	keep in Pāḷi (drafts); IEBH to fix a rendering
jivhāpasāda	9	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	9	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	9	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	9	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	9	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	9	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
janakakamma	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavācā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
pīti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	8	keep in Pāḷi (drafts); IEBH to fix a rendering
ñāṇasampayutta	8	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	7	keep in Pāḷi (drafts); IEBH to fix a rendering
jātimāna	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nīvaraṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vimokkha	7	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhāna	7	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭīkā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	6	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavāḷa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
cittuppāda	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
jātikhetta	6	keep in Pāḷi (drafts); IEBH to fix a rendering
karuṇā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
maggañāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	6	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	6	keep in Pāḷi (drafts); IEBH to fix a rendering
sāvaka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	5	keep in Pāḷi (drafts); IEBH to fix a rendering
carita	5	keep in Pāḷi (drafts); IEBH to fix a rendering
dibbacakkhuñāṇa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
