term	articles	proposal
dhātu	120	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	102	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	73	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	68	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttara	66	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	64	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	61	keep in Pāḷi (drafts); IEBH to fix a rendering
dhutaṅga	53	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	51	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	50	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	50	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	42	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	37	keep in Pāḷi (drafts); IEBH to fix a rendering
abhidhamma	32	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	32	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	29	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	29	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	28	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammārammaṇa	27	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	27	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	27	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	27	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	25	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyatti	22	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	22	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	21	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	20	keep in Pāḷi (drafts); IEBH to fix a rendering
sutta	20	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	19	keep in Pāḷi (drafts); IEBH to fix a rendering
satipaṭṭhāna	19	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	19	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmarūpa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	18	keep in Pāḷi (drafts); IEBH to fix a rendering
devaputta	17	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammacakka	17	keep in Pāḷi (drafts); IEBH to fix a rendering
paccaya	17	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	17	keep in Pāḷi (drafts); IEBH to fix a rendering
devī	16	keep in Pāḷi (drafts); IEBH to fix a rendering
piṭaka	16	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	15	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgāyanā	15	keep in Pāḷi (drafts); IEBH to fix a rendering
therī	15	keep in Pāḷi (drafts); IEBH to fix a rendering
samatha	14	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	13	keep in Pāḷi (drafts); IEBH to fix a rendering
antaravāsaka	12	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	12	keep in Pāḷi (drafts); IEBH to fix a rendering
dhamma	12	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	12	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmapaññatti	12	keep in Pāḷi (drafts); IEBH to fix a rendering
paramattha	12	keep in Pāḷi (drafts); IEBH to fix a rendering
titthiya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
uttarāsaṅga	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	12	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	11	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammatā	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	11	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	11	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	11	keep in Pāḷi (drafts); IEBH to fix a rendering
sucarita	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kammapatha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	10	keep in Pāḷi (drafts); IEBH to fix a rendering
nikāya	10	keep in Pāḷi (drafts); IEBH to fix a rendering
pīti	10	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhindriya	10	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhipakkhiya	9	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhu	9	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	9	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammadhātu	9	keep in Pāḷi (drafts); IEBH to fix a rendering
dāna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
geyya	9	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	9	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavī	9	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷidhamma	9	keep in Pāḷi (drafts); IEBH to fix a rendering
suttanta	9	keep in Pāḷi (drafts); IEBH to fix a rendering
yakkha	9	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	9	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhuppatti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
nandīrāga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
veneyya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatana	8	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammāyatana	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakāya	7	keep in Pāḷi (drafts); IEBH to fix a rendering
paccayuppanna	7	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	7	keep in Pāḷi (drafts); IEBH to fix a rendering
peta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	7	keep in Pāḷi (drafts); IEBH to fix a rendering
sīmā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
akusala	6	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	6	keep in Pāḷi (drafts); IEBH to fix a rendering
desanāñāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammakaraṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammavavatthānañāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	6	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kammabhava	6	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	6	keep in Pāḷi (drafts); IEBH to fix a rendering
mātikā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
naraka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiccasamuppāda	6	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
anicca	5	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
dhamakaraṇa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
