id	iast	burmese	es	en	flag
100871	pa	(၁) စတင်ပြုလုပ်ခြင်း။ (၂) အလွန်။ (၃) ကြီးမား-ကျယ်ပြန့်-တိုးပွါး-ခြင်း။ (၄) အမြတ်။ (၅) ချီးမွမ်းခြင်း။ (၆) သက်ဝင်ခြင်း။ (၇) တောင့်တ-ဆုတောင်-ခြင်း။ (၈) အားထုတ်ခြင်း။ (၉) ပြဓာန်းခြင်း။ (၁၀) မညီမျှခြင်း။ (၁၁) ဆင်းရဲ-ငြိုငြင်-ခြင်း။ (၁၂) လျင်မြန်ခြင်း။ (၁၃) သိမ်းပိုက်ခြင်း။ (၁၄) ရိုသေ-လေးစား-ခြင်း။ (၁၅) ကင်းခြင်း။ (၁၆) အထူး။ (၁၇) အပြား-အထူးအပြား။ မူရင်းကြည့်ပါ။	(1) el comenzar a hacer. (2) sumamente. (3) el ser grande / amplio / el crecer. (4) lo excelente. (5) la alabanza. (6) el adentrarse. (7) el anhelar / el hacer votos. (8) el esforzarse. (9) el predominar. (10) el no ser igual. (11) el sufrir / el afligirse. (12) la rapidez. (13) el apoderarse. (14) el respetar / el estimar. (15) el estar libre de. (16) lo especial. (17) la división / la división especial. Véase el original.	(1) beginning to do. (2) exceedingly. (3) being great / extensive / growing. (4) the excellent. (5) praising. (6) entering into. (7) longing / making a wish. (8) striving. (9) predominating. (10) being unequal. (11) suffering / being afflicted. (12) quickness. (13) taking possession. (14) respecting / esteeming. (15) being free from. (16) the special. (17) division / special division. See the original.	source note 'see the original' (မူရင်းကြည့်ပါ); senses of the prefix pa-
100887	paṁsukūla	မြေ၏မြင့်မောက်ခြင်း။ အောက်ပုဒ်ဒေါင့်ကွင်း-ကြည့်ပါ။	la elevación de la tierra. Véase el corchete de la entrada siguiente.	the rising of the earth. See the square bracket in the next entry.	cross-reference to a bracketed note in the following entry (အောက်ပုဒ်ဒေါင့်ကွင်း)
100937	paṁsunissitapisācaka	မြေကို အမှီပြုနေသော ဘီလူး၊ မြေဘုတ်ဘီလူး။ «S1»	*yakkha* que vive apoyado en la tierra; *yakkha* duende de la tierra. Véase [[paṁsupisācaka]].	*yakkha* living dependent on the earth; earth-goblin *yakkha*. See [[paṁsupisācaka]].	မြေဘုတ် rendered 'earth goblin' tentatively
100941	paṁsuparikiṇṇasarīra	မြေမှုန့်-ဖုန်-ဖြင့် ရောပြွမ်းသော ကိုယ်ရှိသော ကိုယ်ရှိသော၊ သူ။	que tiene el cuerpo mezclado / cubierto con polvo de tierra / polvo (dicho de una persona).	having a body mixed / covered with earth-dust / dust (said of a person).	source repeats ကိုယ်ရှိသော; read once
100944	paṁsupisācaka	မြေဘုတ်ဘီလူး။	*yakkha* duende de la tierra.	earth-goblin *yakkha*.	မြေဘုတ် rendered 'earth goblin' tentatively
100976	pakata	(၁) ပြု-ပြုလုပ်-အပ်သော။ (က) အလွန်အကဲပြုအပ်သော။ (ခ) ကောင်းစွာ ပြုအပ်သော။ (ဂ) အပြားအားဖြင့်-အထူးထူး အပြားပြား-အမျိုးမျိုး အဖုံဖု့-ပြုလုပ်အပ်သော။ (၂) ဆည်းပူးအပ်သော။ (၃) ပြုပြင်-စီရင်-အပ်သော။ (၄) လွှမ်းမိုး-နှိပ်စက်-အပ်သော။ (၅) ပညတ်အိပ်သာ။ (၆) သိမ်းယူ-သိမ်းပိုက်-အပ်သော။ (၇) ဦးစွာပြုတတ်-အားထုတ်တတ်-သော၊ သူ။ (၈) ကြောင့်ကြစိုက်သော။ (၉) ပင်ကိုယ်၊ ပြကတေ့၊ နဂိုရ်၊ မူလ။ (၁၀) သဘော။ (၁၁) ပြုအပ်-အားထုတ်အပ်-ပြဆိုအပ်-ပြီးသော။ (၁၂) ပြုဆဲ-အားထုတ်ဆဲ-ပြဆိုဆဲ-ဖြစ်သော။ (၁၃) အပြားအားဖြင့်-အထူးထူးအပြားပြား-ပြုခြင်း။ «S1» «S2» «S3»	(1) hecho / realizado. (a) hecho en exceso. (b) bien hecho. (c) hecho de modo diverso / de modos especiales y variados / de toda clase y forma. (2) cultivado. (3) arreglado / dispuesto. (4) dominado / oprimido. (5) prescrito. (6) tomado / apropiado. (7) que suele hacer primero / esforzarse (dicho de una persona). (8) que se preocupa. (9) naturaleza propia; estado natural; estado original; origen. (10) naturaleza. (11) que ya ha sido hecho / emprendido / expuesto. (12) que se está haciendo / emprendiendo / exponiendo. (13) el hacer de modo diverso / de modos especiales y variados. Véase también [[pakatūpanissaya]]. Véase [[pakataññū]] (2). Véase [[pakatatthaniddesa]].	(1) done / made. (a) done in excess. (b) well done. (c) made in diverse ways / in special and various ways / of all kinds and forms. (2) cultivated. (3) arranged / ordered. (4) overpowered / oppressed. (5) prescribed. (6) taken / appropriated. (7) apt to act first / to strive (said of a person). (8) concerned. (9) one's own nature; natural state; original state; origin. (10) nature. (11) already done / undertaken / expounded. (12) being done / undertaken / expounded. (13) making in diverse ways / in special and various ways. See also [[pakatūpanissaya]]. See [[pakataññū]] (2). See [[pakatatthaniddesa]].	(5) ပညတ်အိပ်သာ looks garbled; read as ပညတ်အပ်သော 'prescribed'
100979	pakatatta	ပင်ကိုယ်-ပြကတေ့-သဘောရှိသော၊ သူ။ (၁) ပကတိ သီလရှိသော၊ ရဟန်း။ ပကတတ်ရဟန်း။ (က) လိင်မပြန်သော၊ ရဟန်း။ (ခ) ပါရာဇိကမကျသော၊ ရဟန်း။ (ဂ) သံဃာတော်မှ-ပစ်ပယ်-နှင်ထုတ်-မခံရသော၊ ရဟန်း။ (ဃ) ပရိဝါသ်,မာနတ်ကျင့်ဆဲ မဟုတ်သော၊ ရဟန်း။ (င) ဥပုသ် ပဝါရဏာကံတို့မှ-တားမြစ်-ဖယ်ထုတ်-မခံရသော၊ ရဟန်း။ (စ) အာပတ်သင့် မသင့်ကို သိသော၊ ဝိနည်း၌ လိမ္မာကျွမ်းကျင်သော၊ ရဟန်း။ (၂) ပြန်လည်ကျန်းမာသော (ခန္ဓာကိုယ်)။ «S1»	que tiene naturaleza propia / estado natural / naturaleza (dicho de una persona). (1) que tiene *sīla* normal (dicho de un monje). monje *pakatatta*. (a) que no ha dejado los hábitos (dicho de un monje). (b) que no ha incurrido en *pārājika* (dicho de un monje). (c) que no ha sido rechazado / expulsado por el *saṅgha* (dicho de un monje). (d) que no está practicando *parivāsa* ni *mānatta* (dicho de un monje). (e) que no ha sido vetado / excluido de los *kamma* de *uposatha* y *pavāraṇā* (dicho de un monje). (f) que sabe si se incurre o no en *āpatti*; hábil / experto en el *vinaya* (dicho de un monje). (2) (cuerpo) que ha recuperado la salud. Véase [[apakatatta]].	having one's own nature / natural state / nature (said of a person). (1) having normal *sīla* (said of a monk). a *pakatatta* monk. (a) who has not disrobed (said of a monk). (b) who has not fallen into *pārājika* (said of a monk). (c) who has not been rejected / expelled by the *saṅgha* (said of a monk). (d) who is not undergoing *parivāsa* or *mānatta* (said of a monk). (e) who has not been barred / excluded from the *uposatha* and *pavāraṇā* *kamma* (said of a monk). (f) who knows whether an *āpatti* is incurred or not; skilful / expert in the *vinaya* (said of a monk). (2) (body) restored to health. See [[apakatatta]].	ကံ here = the Saṅgha's formal act; ပစ်ပယ် rendered rechazar/reject (expulsion)
100995	pakati	(၁) ပင်ကိုယ်၊ ပြကတေ့၊ နဂိုရ်၊ မူလ။ (၂) သဘော၊ ပင်ကိုယ်-ပြကတေ့-သဘော။ (၃) အလေ့အကျက်၊ အစဉ်အလာ၊ ထုံးစံ၊ ဓမ္မတာ။ (၄) တိုင်းသူပြည်သား။ (၅) အကြောင်း။ (၆) အကျိုး။ (၇) ပကတိဆန်း၊ ၂၁-လုံးဖွဲ့ဆန်း။ (၈) ရှေးဦးစွာတည်ထားအပ်သော သဒ္ဒါ၊ လိင်,ဓာတ်။ (၉) လိင်၊ အသွင်သဏ္ဌာန်၊ အချင်းအရာ၊ လိင်-အသွင်သဏ္ဌာန်-အချင်းအရာ-ရှိသော သတ္တဝါ။ (၁၀) အကျိုးတရားတို့ကို ပြုလုပ်စီရင်တတ်သော သဘောတရား၊ အကျိုးတရားတို့၏ ကိန်းဝပ်တည်နေရာ မူလအကြောင်း၊ သတ္တဂုဏ်,တမဂုဏ် ၃ ပါးတို့၏ ညီမျှနေသည့် အခိုက်အတန့်ဟူသော ပကတိ မည်သော သဘောတရား။ «S1» «S2»	(1) naturaleza propia; estado natural; estado original; origen. (2) naturaleza; naturaleza propia / estado natural / naturaleza. (3) hábito; tradición; costumbre; *dhammatā*. (4) los habitantes del reino. (5) causa. (6) fruto. (7) metro *pakati*; metro de 21 sílabas. (8) palabra establecida en primer lugar; *liṅga*, *dhātu*. (9) sexo; forma; condición; ser que tiene sexo / forma / condición. (10) la naturaleza que produce / dispone los estados resultantes; la causa original en que residen los estados resultantes; la naturaleza llamada *pakati*, que es el momento en que están en equilibrio las tres cualidades *sattaguṇa* y *tamaguṇa*. Véase [[pakatikkhobha]]. Véase también [[pakatiniddesa]].	(1) one's own nature; natural state; original state; origin. (2) nature; one's own nature / natural state / nature. (3) habit; tradition; custom; *dhammatā*. (4) the subjects of the realm. (5) cause. (6) fruit. (7) the *pakati* metre; a metre of 21 syllables. (8) the word laid down first; *liṅga*, *dhātu*. (9) sex; form; condition; a being having sex / form / condition. (10) the nature that produces / arranges resultant states; the original cause in which resultant states reside; the nature called *pakati*, which is the moment when the three qualities *sattaguṇa* and *tamaguṇa* are in equilibrium. See [[pakatikkhobha]]. See also [[pakatiniddesa]].	(10) says three guṇas but names only two (rajas missing); (8) grammatical liṅga/dhātu
101032	pakatikammapada	ပကတိကံပုဒ်။	palabra *kamma* *pakati*.	*pakati* *kamma* word.	ကံ here = grammatical object
101050	pakaticakkhumuṭṭhika	ပင်ကိုယ်-ပြကတေ့-လက် ၄-ဆုပ်။	cuatro puñados propios / naturales.	own / natural four fistfuls.	unclear sense of 'four fistfuls' for this headword
