term	articles	proposal
kamma	485	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	163	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	162	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	99	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriya	96	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇa	83	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	66	keep in Pāḷi (drafts); IEBH to fix a rendering
karuṇā	63	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	59	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacara	59	keep in Pāḷi (drafts); IEBH to fix a rendering
kathina	53	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmarāga	46	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyadvāra	46	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	38	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmabhūmi	34	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	33	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmavitakka	30	keep in Pāḷi (drafts); IEBH to fix a rendering
kattā	29	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyaduccarita	29	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyakamma	29	keep in Pāḷi (drafts); IEBH to fix a rendering
kammapatha	27	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	26	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	24	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavācā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesakāma	22	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyapasāda	21	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	19	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	18	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	18	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	17	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	17	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	16	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	16	keep in Pāḷi (drafts); IEBH to fix a rendering
kappabindu	15	keep in Pāḷi (drafts); IEBH to fix a rendering
karaṇa	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyaviññatti	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kalāpa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyagatāsati	14	keep in Pāḷi (drafts); IEBH to fix a rendering
vatthukāma	14	keep in Pāḷi (drafts); IEBH to fix a rendering
kinnara	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmasaññā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmataṇhā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	13	keep in Pāḷi (drafts); IEBH to fix a rendering
vicikicchā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kita	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmadhātu	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kāya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	12	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	11	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kammajarūpa	11	keep in Pāḷi (drafts); IEBH to fix a rendering
karuṇājhāna	11	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyaviññāṇa	11	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	11	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpakāya	11	keep in Pāḷi (drafts); IEBH to fix a rendering
asura	10	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
kusala	10	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmacchanda	10	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyānupassanā	10	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	10	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	9	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	9	keep in Pāḷi (drafts); IEBH to fix a rendering
kabaḷīkārāhāra	9	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmabhava	9	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacarabhūmi	9	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyaviveka	9	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	9	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	9	keep in Pāḷi (drafts); IEBH to fix a rendering
vacīkamma	9	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	9	keep in Pāḷi (drafts); IEBH to fix a rendering
adhiṭṭhāna	8	keep in Pāḷi (drafts); IEBH to fix a rendering
duccarita	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kammabhava	8	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmupādāna	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kāraka	8	keep in Pāḷi (drafts); IEBH to fix a rendering
phassa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sucarita	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	8	keep in Pāḷi (drafts); IEBH to fix a rendering
uposatha	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjana	8	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhisatta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
javana	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kinnarī	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmarāgasaṁyojana	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacarakiriyā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	7	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	7	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vibhatti	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	7	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kammakāraka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kammassakatā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaviññāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kappa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
karajakāya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
katikavatta	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacaravipāka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyasucarita	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyindriya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
peta	6	keep in Pāḷi (drafts); IEBH to fix a rendering
sīmā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
āyukappa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
akusala	5	keep in Pāḷi (drafts); IEBH to fix a rendering
bhikkhunī	5	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	5	keep in Pāḷi (drafts); IEBH to fix a rendering
chandarāga	5	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
duggati	5	keep in Pāḷi (drafts); IEBH to fix a rendering
kammapaccaya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavaṭṭa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmogha	5	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāsava	5	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakāya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
paduma	5	keep in Pāḷi (drafts); IEBH to fix a rendering
parikamma	5	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	5	keep in Pāḷi (drafts); IEBH to fix a rendering
puṇḍarīka	5	keep in Pāḷi (drafts); IEBH to fix a rendering
sāmaṇera	5	keep in Pāḷi (drafts); IEBH to fix a rendering
vacīdvāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
vitakka	5	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
abhijjhā	4	keep in Pāḷi (drafts); IEBH to fix a rendering
