term	articles	proposal
apāya	87	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	65	keep in Pāḷi (drafts); IEBH to fix a rendering
appanā	53	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	50	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	38	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	36	keep in Pāḷi (drafts); IEBH to fix a rendering
appamāda	35	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	34	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	34	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	34	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	32	keep in Pāḷi (drafts); IEBH to fix a rendering
anusaya	32	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttara	30	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	30	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	24	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavācā	23	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	22	keep in Pāḷi (drafts); IEBH to fix a rendering
anumodanā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	19	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	19	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	18	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	18	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	18	keep in Pāḷi (drafts); IEBH to fix a rendering
appicchatā	17	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	16	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	16	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	16	keep in Pāḷi (drafts); IEBH to fix a rendering
anupādinnaka	16	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	16	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	16	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	15	keep in Pāḷi (drafts); IEBH to fix a rendering
abbhāna	15	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	14	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sādhu	13	keep in Pāḷi (drafts); IEBH to fix a rendering
anusandhi	13	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	12	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	12	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	12	keep in Pāḷi (drafts); IEBH to fix a rendering
