term	articles	proposal
taṇhā	374	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	162	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	123	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	83	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	78	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	66	keep in Pāḷi (drafts); IEBH to fix a rendering
titthi	51	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	48	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	45	keep in Pāḷi (drafts); IEBH to fix a rendering
thina	45	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	41	keep in Pāḷi (drafts); IEBH to fix a rendering
middha	40	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	40	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	39	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	39	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	37	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	34	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	33	keep in Pāḷi (drafts); IEBH to fix a rendering
piṭaka	32	keep in Pāḷi (drafts); IEBH to fix a rendering
tejo	32	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	30	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	30	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	29	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	28	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	28	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	28	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	25	keep in Pāḷi (drafts); IEBH to fix a rendering
tika	25	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	24	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhi	24	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	23	keep in Pāḷi (drafts); IEBH to fix a rendering
tadārammaṇa	23	keep in Pāḷi (drafts); IEBH to fix a rendering
cetanā	22	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	22	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	20	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	20	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	20	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	20	keep in Pāḷi (drafts); IEBH to fix a rendering
tusita	20	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	19	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	18	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	18	keep in Pāḷi (drafts); IEBH to fix a rendering
thullaccaya	18	keep in Pāḷi (drafts); IEBH to fix a rendering
vipāka	18	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	17	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpa	16	keep in Pāḷi (drafts); IEBH to fix a rendering
paribbājaka	15	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	15	keep in Pāḷi (drafts); IEBH to fix a rendering
taddhita	15	keep in Pāḷi (drafts); IEBH to fix a rendering
vassa	15	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	14	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	14	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	14	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhisatta	13	keep in Pāḷi (drafts); IEBH to fix a rendering
