term	articles	proposal
nibbāna	316	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	103	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesa	97	keep in Pāḷi (drafts); IEBH to fix a rendering
nīvaraṇa	81	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	67	keep in Pāḷi (drafts); IEBH to fix a rendering
jhāna	64	keep in Pāḷi (drafts); IEBH to fix a rendering
paññā	46	keep in Pāḷi (drafts); IEBH to fix a rendering
nirodhasamāpatti	42	keep in Pāḷi (drafts); IEBH to fix a rendering
khandha	40	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhā	40	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	37	keep in Pāḷi (drafts); IEBH to fix a rendering
kamma	36	keep in Pāḷi (drafts); IEBH to fix a rendering
thera	33	keep in Pāḷi (drafts); IEBH to fix a rendering
magga	32	keep in Pāḷi (drafts); IEBH to fix a rendering
nirodhasacca	32	keep in Pāḷi (drafts); IEBH to fix a rendering
nissaya	31	keep in Pāḷi (drafts); IEBH to fix a rendering
māna	30	keep in Pāḷi (drafts); IEBH to fix a rendering
viggaha	29	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	28	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāya	27	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	25	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	25	keep in Pāḷi (drafts); IEBH to fix a rendering
nekkhamma	24	keep in Pāḷi (drafts); IEBH to fix a rendering
saññā	24	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	23	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpa	21	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	21	keep in Pāḷi (drafts); IEBH to fix a rendering
sutta	21	keep in Pāḷi (drafts); IEBH to fix a rendering
sīla	21	keep in Pāḷi (drafts); IEBH to fix a rendering
parinibbāna	20	keep in Pāḷi (drafts); IEBH to fix a rendering
nevasaññānāsaññāyatana	19	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	19	keep in Pāḷi (drafts); IEBH to fix a rendering
ñāṇa	19	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	19	keep in Pāḷi (drafts); IEBH to fix a rendering
nipāta	17	keep in Pāḷi (drafts); IEBH to fix a rendering
buddha	16	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	16	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	15	keep in Pāḷi (drafts); IEBH to fix a rendering
nicca	15	keep in Pāḷi (drafts); IEBH to fix a rendering
niraya	15	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāganimitta	14	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	14	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanā	14	keep in Pāḷi (drafts); IEBH to fix a rendering
āmisa	14	keep in Pāḷi (drafts); IEBH to fix a rendering
atta	13	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	13	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	13	keep in Pāḷi (drafts); IEBH to fix a rendering
bhava	12	keep in Pāḷi (drafts); IEBH to fix a rendering
dosa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	12	keep in Pāḷi (drafts); IEBH to fix a rendering
sīmā	12	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	12	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	11	keep in Pāḷi (drafts); IEBH to fix a rendering
niccanimitta	11	keep in Pāḷi (drafts); IEBH to fix a rendering
nīti	11	keep in Pāḷi (drafts); IEBH to fix a rendering
peta	11	keep in Pāḷi (drafts); IEBH to fix a rendering
samādhi	11	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	11	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
niggahīta	10	keep in Pāḷi (drafts); IEBH to fix a rendering
nirutti	10	keep in Pāḷi (drafts); IEBH to fix a rendering
niyāma	10	keep in Pāḷi (drafts); IEBH to fix a rendering
sukha	10	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvappadhāna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
jīva	9	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttara	9	keep in Pāḷi (drafts); IEBH to fix a rendering
pīti	9	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	9	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	9	keep in Pāḷi (drafts); IEBH to fix a rendering
subha	9	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	8	keep in Pāḷi (drafts); IEBH to fix a rendering
kicca	8	keep in Pāḷi (drafts); IEBH to fix a rendering
niruttipaṭisambhidāñāṇa	8	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	8	keep in Pāḷi (drafts); IEBH to fix a rendering
ojā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
papañca	8	keep in Pāḷi (drafts); IEBH to fix a rendering
pācittiya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	8	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattimagga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	7	keep in Pāḷi (drafts); IEBH to fix a rendering
hetu	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kammaṭṭhāna	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbidā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
niccabhatta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nissaraṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nīlakasiṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
upadhi	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vatthu	7	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
alobha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
devaputta	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dhātu	6	keep in Pāḷi (drafts); IEBH to fix a rendering
nekkhammavitakka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
niccasāra	6	keep in Pāḷi (drafts); IEBH to fix a rendering
nisajjadhutaṅga	6	keep in Pāḷi (drafts); IEBH to fix a rendering
nisīdana	6	keep in Pāḷi (drafts); IEBH to fix a rendering
niyassakamma	6	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	6	keep in Pāḷi (drafts); IEBH to fix a rendering
