id	iast	burmese	es	en	flag
15360	abyatha	(၁) မပင်ပန်း-မဆင်းရဲ-ခြင်း။ (ထီ) (၂) ဖန်ခါး၊ ကြဇု။	(1) el no fatigarse / no sufrir. (femenino) (2) mirobálano.	(1) not being wearied / not suffering. (feminine) (2) myrobalan.	sense 2: ဖန်ခါး rendered 'myrobalan' (Terminalia chebula); the second word ကြဇု is unclear (plant name?) and was left out
15362	abyanta	ကင်းသော၊ ဥပါဒ်စွန်း,ဘင်စွန်းရှိသည်မဟုတ်သော။ ဥပါဒ်စွန်း,ဘင်စွန်းမကင်းသော၊ မပျောက်ပျက်သေးသော အနုသယ။	libre; que no tiene extremo de surgimiento, extremo de disolución. *anusaya* no libre del extremo de surgimiento, extremo de disolución; aún no desaparecido.	free; not having an end of arising, end of dissolution. *anusaya* not free from the end of arising, end of dissolution; not yet vanished.	text looks garbled: opening ကင်းသော lacks an object and the two sentences seem to contradict each other
15363	abyabhicaraṇa	မကင်းမကွာဖြစ်ခြင်း၊ လျဉ်းပါးဖွယ်မဟုတ်ခြင်း၊ ဧကန်-မုချ-ဖြစ်ခြင်း။	el ser inseparable; el no ser susceptible de desviación; el ser cierto / infalible.	being inseparable; not being liable to deviation; being certain / unfailing.	လျဉ်းပါးဖွယ် rendered 'liable to deviation' here and in the following abyabhicāra entries; please confirm
15369	abyabhicārikāraṇapariggaṇhana	လျဉ်းပါးဖွယ်ရှိသော-ဧကန်-မုချ-ဖြစ်သော-အကြောင်းကို သိမ်းဆည်းခြင်း။	el abarcar la causa susceptible de desviación / cierta / infalible.	the comprehending of the cause liable to deviation / certain / unfailing.	text has လျဉ်းပါးဖွယ်ရှိသော without မ, probably a misprint for မရှိသော; translated as printed
15378	abyaya	(၁) မပျက်စီး-မကုန်ကျ-ခြင်း။ ပစ္စည်းဥစ္စာ-မဆုံးရှုံး-မကုန်ကျ-ခြင်း။ (တိ) (၂) လိင်၃-ပါး ဝိဘတ် ၇-သွယ်တို့ကြောင့်-ပျက်စီးခြင်းမရှိ-မပျက်စီးတတ်-သော၊ လိင်,ဝိဘတ်,ဝုစ်အားလုံးတို့၌-အခြင်းအရာတစ်ခုတည်း-တစ်ပုံစံတည်း-ဖြစ်သော။ ဥပသာရ,နိပါတ်ပုဒ်၊ အဗျယပုဒ်။	(1) el no perecer / no gastarse. el no perder / no gastar bienes / riquezas. (adjetivo) (2) que no sufre alteración / no suele alterarse por los tres géneros y los siete casos; que tiene un solo modo / una sola forma en todos los géneros, casos y números. palabra *upasagga*, palabra *nipāta*; palabra *abyaya*.	(1) not perishing / not being used up. not losing / not using up goods / wealth. (adjective) (2) not undergoing change / not apt to change through the three genders and the seven cases; having one single mode / one single form in all genders, cases and numbers. an *upasagga* word, a *nipāta* word; an *abyaya* word.	ပျက်စီး in sense 2 (lit. 'perish') rendered 'change' in the grammatical sense
15394	abyākatakathā	(၁) အဗျာကတ၏-အနက်-အဓိပ္ပါယ်-အကွဲအပြား-ဝိဘာဂ-နှင့် စပ်၍ ဆိုရာဖြစ်သော စကားရပ်၊ အဗျာကတကထာ။	(1) pasaje que trata del significado / sentido / división / clasificación de *abyākata*; *abyākatakathā*.	(1) a passage speaking of the meaning / sense / division / analysis of *abyākata*; *abyākatakathā*.	only sense (1) is printed
15401	abyākataṭṭha	အဗျာ-ကတဟူသော-အနက်-သဘော။	el significado / sentido de *abyākata*.	the meaning / sense that is *abyākata*.	text prints အဗျာ-ကတ with a hyphen inside the word; taken as one word
15403	abyākatatta	(၂) အဗျာကတတရား၏အဖြစ်။ (၂) မဖြေကြားအပ်သည်၏အဖြစ်။ (က) မဖြေကြားထိုက်-ဖြေကြားရန်မလို-သည်၏အဖြစ်။ (ခ) မြတ်စွာဘုရားသည် မဖြေကြားအပ်သည်၏အဖြစ်။	(1) el hecho de ser un estado *abyākata*. (2) el hecho de no haber sido respondido. (a) el hecho de no merecer respuesta / no necesitar respuesta. (b) el hecho de no haber sido respondido por el Buddha.	(1) the state of being an *abyākata* state. (2) the state of not having been answered. (a) the state of not deserving an answer / not needing an answer. (b) the state of not having been answered by the Buddha.	first sense marker is printed (၂); taken as (၁)
15411	abyākatanivattana	အဗျာကတတရားကို နစ်စေခြင်း။	el hacer hundir el estado *abyākata*.	the causing of the *abyākata* state to sink.	နစ်စေ ('cause to sink') fits nivattana poorly; possibly a misprint; please check
15417	abyākatapucchā	အပြစ်ရှိ,မရှိ ၂-ပါးစုံမှ အပြန်ဖြစ်သော-သဘော-တရား-တို့ကို မေးမြန်းခြင်း။	el preguntar por las naturalezas / los estados distintos de los dos, con falta, sin falta.	the asking about natures / states other than both of the two, with fault, without fault.	အပြန်ဖြစ်သော rendered 'other than'; please check
15424	abyākatarāsipariyāpanna	အဗျာကတတရားအစု၌ အကျုံးဝင်သော။ အဗျာကတ-(၁)-ကြည့်။	incluido en el grupo de los estados *abyākata*. Véase [[abyākata]] (1).	included in the group of *abyākata* states. See [[abyākata]] (1).	cross-reference was not converted to «S»; rendered as Véase / See
15427	abyākatavagga	ဧကံ-သစသည်၏ အစွမ်းဖြင့် မဟောဆို-မဖြေကြား-အပ်သော အရာဝတ္ထုတို့ကို ဟောသည့်သုတ်ကို အဦးအစပြု၍ စုပေါင်းထားသော ဝဂ်၊ အဗျာကတဝဂ်။	capítulo reunido comenzando por el sutta que enseña las cosas no expuestas / no respondidas a modo de *ekaṁsa* y demás; *abyākatavagga*.	the chapter collected beginning with the sutta that teaches the matters not expounded / not answered by way of *ekaṁsa* and so on; *abyākatavagga*.	text prints ဧကံ-သ with a hyphen inside the word; taken as ဧကံသ
