id	iast	burmese	es	en	flag
8151	anu	ဥပသာရပုဒ် ၂၀-တို့တွင် တပုဒ်။ (၁) အစဉ်-လိုက်-လျှောက်-ခြင်း။ «S1» (၂) မပြတ်။ (၃) နောက်။ အနုကဍ္ဎိ,အနုကရောတိ,အနုကူလ,အနုစင်္ကမတိ,အနုစရ,အနုစရတိ,အနုဇ,အနုဇာနာပေတိ,အနုတာပ,အနုပညတ္တိ,အနုပဒ-(၅)-တို့ကြည့်။ (၄) လွန်ကဲ,ပြင်းထန်။ «S2» (၅) အတူ။ အနုဂုဏ,အနုဇာတ-(၁)-တို့ကြည့်။ ထောမနိဓိ,အနုကရဏပုဒ်-လည်းကြည့်။ (၆) အောက်အဖို့။ «S3» (၇) လျော်သည်။ «S4» (၈) အနီး။ «S5» (၉) အတွင်း,အကြား။ «S6» (၁၀) အဖန်ဖန်,အထပ်ထပ်,အလွန်။ «S7» (၁၁) အငယ်။ «S8» (၁၂) အငယ်။ «S9» (၁၃) အဖို့အစု။ အနုပဒ-(၄)-ကြည့်။ (၁၄) မှီခိုခြင်း။ «S10» (၁၅) ရှေးရှူဖြစ်ခြင်း။ «S11» (၁၆) အတုလိုက်ခြင်း။ «S12» ဤကို (၃),အတူတူဟုလည်း ယူနိုင်သည်။ (၁၇) အပြန်ပြန်,ထိုမှ ဤမှ။ «S13» (၁၈) အကြောင်း။ အနုဇာတ(၂) ကြည့်။ (၁၉) အခြားမဲ့။ အနုဒေဝ-(၂)-ကြည့်။ (၂၀) ယုတ်နိမ့်သည်။ (၂၁) အတူတကွ။ «S14» (၂၂) မှတ်ကြောင်း,အမှတ်အသား။ အနုပတတိ-(ဆ)-လည်းကြည့်။ (၂၃) တစ်စုံတစ်ခု အထူးသို့ ရောက်သည်ကို ပြောကြားခြင်း။ (၂၄) အဖို့အစု,ဝေစု။ (၂၅) ပျံ့နှံ့စေခြင်းငှါ အလို,ပျံ့နှံ့စေလိုခြင်း။ «S15» (၂၆) အစဉ်။ (၂၇) အလျား,တလျှောက်။ (၂၈) မဲ့။ (၂၉) အစီးအပွါး။ (၃၀) အရပ်။	uno de los 20 prefijos. (1) el orden / seguir / avanzar. Véanse [[anukūla]], [[anupaṭipatti]], [[anupabbajita]], [[anussarati]], [[anveti]]. (2) sin interrupción. (3) después. Véanse [[anukaḍḍhi]], [[anukaroti]], [[anukūla]], [[anucaṅkamati]], [[anucara]], [[anucarati]], [[anuja]], [[anujānāpeti]], [[anutāpa]], [[anupaññatti]], [[anupada]] (5). (4) excesivo, intenso. Véase también [[anujagghanta]]. (5) juntamente. Véanse [[anuguṇa]], [[anujāta]] (1). Véanse también [[thomanidhi]], la palabra *anukaraṇa*. (6) la parte inferior. Véase [[anuvāta]]. (7) conveniente. Véanse [[anugīti]], [[anucchavika]], [[anuja]], [[anujāta]], [[anudhamma]]. (8) cerca. Véanse [[anutīra]], [[anupakhajja]], [[anupāda]]. (9) dentro, entre. Véase [[anupatha]]. (10) repetidamente, una y otra vez, sumamente. Véanse [[anugijjhati]], [[anucinteti]], [[anunetu]], [[anupassati]]. (11) lo menor. Véase [[anucaṅkama]]. (12) lo menor. Véase [[anuthera]]. (13) porción. Véase [[anupada]] (4). (14) el depender. Véase [[anujīvī]]. (15) el estar orientado hacia. Véase [[anuparivatteti]]. (16) la imitación. Véanse [[anukaroti]], [[anupabbajati]], [[anupabbajjā]]. Esto puede tomarse también como (3), o como «igualmente». (17) de un lado a otro, de allá y de acá. Véanse [[anucaṅkamati]], [[anucaṅkamanta]]. (18) causa. Véase [[anujāta]] (2). (19) inmediatamente siguiente. Véase [[anudeva]] (2). (20) inferior. (21) conjuntamente. Véanse también [[anucarati]], [[anucariya]], [[anudūta]], [[anudeva]], [[anvadeva]]. (22) medio de señalar, señal. Véase también [[anupatati]] (g). (23) el declarar que algo llega a una condición particular. (24) porción, parte. (25) deseo de difundir, el querer difundir. Véanse también [[anuchamāsa]], [[anupariveṇa]], [[anusaṁvacchara]], [[anvaddhamāsa]]. (26) orden. (27) longitud, a lo largo de. (28) sin. (29) provecho. (30) lugar.	one of the 20 prefixes. (1) sequence / following / going along. See [[anukūla]], [[anupaṭipatti]], [[anupabbajita]], [[anussarati]], [[anveti]]. (2) uninterrupted. (3) after. See [[anukaḍḍhi]], [[anukaroti]], [[anukūla]], [[anucaṅkamati]], [[anucara]], [[anucarati]], [[anuja]], [[anujānāpeti]], [[anutāpa]], [[anupaññatti]], [[anupada]] (5). (4) excessive, intense. See also [[anujagghanta]]. (5) together. See [[anuguṇa]], [[anujāta]] (1). See also [[thomanidhi]], the word *anukaraṇa*. (6) the lower part. See [[anuvāta]]. (7) suitable. See [[anugīti]], [[anucchavika]], [[anuja]], [[anujāta]], [[anudhamma]]. (8) near. See [[anutīra]], [[anupakhajja]], [[anupāda]]. (9) within, between. See [[anupatha]]. (10) repeatedly, again and again, exceedingly. See [[anugijjhati]], [[anucinteti]], [[anunetu]], [[anupassati]]. (11) the lesser. See [[anucaṅkama]]. (12) the lesser. See [[anuthera]]. (13) portion. See [[anupada]] (4). (14) depending. See [[anujīvī]]. (15) being directed towards. See [[anuparivatteti]]. (16) imitation. See [[anukaroti]], [[anupabbajati]], [[anupabbajjā]]. This can also be taken as (3), or as 'alike'. (17) back and forth, from there and from here. See [[anucaṅkamati]], [[anucaṅkamanta]]. (18) cause. See [[anujāta]] (2). (19) immediately following. See [[anudeva]] (2). (20) inferior. (21) together with. See also [[anucarati]], [[anucariya]], [[anudūta]], [[anudeva]], [[anvadeva]]. (22) means of marking, mark. See also [[anupatati]] (g). (23) stating that something reaches a particular condition. (24) portion, share. (25) wish to spread, wanting to spread. See also [[anuchamāsa]], [[anupariveṇa]], [[anusaṁvacchara]], [[anvaddhamāsa]]. (26) order. (27) length, along. (28) without. (29) benefit. (30) place.	sense (16) note 'ဤကို (၃),အတူတူဟုလည်း' read as 'can also be taken as (3), or as alike'; ထောမနိဓိ taken as a book title
8156	anuāgantvā	လာ၍၊ တစ်ဖန်လာ၍၊ လိုက်လာ၍။ အနွာဂန္တွာ-လည်းကြည်။	habiendo venido; habiendo vuelto a venir; habiendo venido siguiendo. Véase también [[anvāgantvā]].	having come; having come again; having come following. See also [[anvāgantvā]].	'ကြည်' read as 'ကြည့်' (see)
8161	anuuṭṭhita	အစဉ်လိုက်၍ဖြစ်ပော်သော။ «S1»	surgido en sucesión. Véase también [[anuggata]].	arisen in succession. See also [[anuggata]].	'ဖြစ်ပော်' read as 'ဖြစ်ပေါ်'
8170	anukantanaṭṭha	စူးရှ-ခြင်း-အနက်-သဘော။	el significado / la naturaleza del punzar.	the meaning / nature of piercing.	hyphens here seem to join 'piercing' + 'meaning / nature'; rendered as 'the meaning / nature of piercing'
8184	anukampasutta	လူတို့ကို-သနား-စောင့်ရှောက်-တတ်သော အာဝါသိကရဟန်း၏ တရားငါးပါးကို ပြသောသုတ်၊ အနုကမ္ပသုတ်။	sutta que muestra los cinco estados del monje *āvāsika* que suele compadecer / proteger a la gente; el sutta *anukampa*.	the sutta showing the five states of the *āvāsika* monk who is apt to pity / protect people; the *anukampa* Sutta.	တရား here means 'qualities'; rendered 'estados / states' per stems
8196	anukaraṇajanāma	အတုပြခြင်း-မှ-ကြောင့်-ဖြစ်သောအမည်၊ အတူပြု၍ဖြစ်သော အမည်း။	nombre surgido de / a causa de la imitación; nombre surgido por imitación.	a name arising from / because of imitation; a name arising through imitation.	text has 'အတုပြခြင်း' (for အတုပြု?), 'အတူပြု' (for အတုပြု?) and 'အမည်း' (for အမည်); read as imitation / name
8205	anukiriyā	အတုလိုက်၍ ပြုလုပ်ခြင်း၊ အတူပြုခြင်း။	el hacer imitando; el hacer juntamente.	doing in imitation; doing together.	'အတူပြု' (doing together) may be a slip for 'အတုပြု' (imitating)
8209	anukulayañña	ဆွေစဉ်မျိုးဆက်အလှူ၊ ဆွေစဉ်မျိုးဆက်-ဖြစ်စေအပ်-ပေးအပ်-ပူဇော်အပ်-သော-နိစ္စဘတ်-(နိစ္စဒါန-နိဗဒ္ဓဝတ်) အလှူ။	ofrenda del linaje familiar; ofrenda de comida perpetua (*niccadāna* / observancia *nibaddha*) que de generación en generación se ha hecho instituir / se ha dado / se ha ofrecido.	the family-line offering; the perpetual food offering (*niccadāna* / *nibaddha* observance) caused to be instituted / given / offered generation after generation.	hybrids နိစ္စဘတ် and နိဗဒ္ဓဝတ် rendered as 'perpetual food' and 'nibaddha observance'; check
8218	anukevaṭṭa	အနုကေဝဋ်၊ အနုကေဝဋ်မည်သော ပုဏ္ဏား။ မူရင်းကြည့်ပါ။	*anukevaṭ*; el brahmán llamado *anukevaṭ*. Consúltese el original.	*anukevaṭ*; the brahmin named *anukevaṭ*. See the original.	proper name in Burmese spelling (final ဋ်); 'မူရင်းကြည့်ပါ' is an editorial note
8219	anukevaṭṭabrāhmaṇa	အနုကေဝဋ်ပုဏ္ဏား။	el brahmán *anukevaṭ*.	the brahmin *anukevaṭ*.	proper name in Burmese spelling (final ဋ်)
